uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,rep_plus,ips,nb_candidats_g,taux_de_reussite_g,va_du_taux_de_reussite_g,note_a_lecrit_g,va_de_la_note_g,taux_dacces_6eme_3eme,part_presents_3eme_ordinaire_total,part_mention_ab_g,part_mention_b_g,part_mention_tb_g,part_mention_global_g
0880151L,2021-01-01,NANCY-METZ,VOSGES,SAINT-DIE-DES-VOSGES,COLLEGE,PUBLIC,646,1,0,92.9,128,83.0,-6.0,10.4,-0.7,92.0,98.0,23.44,16.41,19.53,59.38
0881148V,2021-01-01,NANCY-METZ,VOSGES,LE THOLY,COLLEGE,PUBLIC,205,0,0,108.5,49,100.0,5.0,11.6,0.0,96.0,98.0,26.53,20.41,34.69,81.63
0080011U,2021-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,COLLEGE,PUBLIC,386,0,0,112.9,90,99.0,5.0,11.6,0.3,90.0,98.0,21.11,35.56,32.22,88.89
0080011U,2021-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,COLLEGE,PUBLIC,386,0,0,112.9,114,90.0,,12.5,,87.0,97.0,17.54,23.68,38.60,79.82
0080046G,2021-01-01,REIMS,ARDENNES,SEDAN,COLLEGE,PUBLIC,297,0,0,93.2,61,89.0,-3.0,10.5,-0.8,82.0,98.0,13.11,27.87,32.79,73.77
0080046G,2021-01-01,REIMS,ARDENNES,SEDAN,COLLEGE,PUBLIC,297,0,0,93.2,71,79.0,-12.0,9.7,-1.2,84.0,95.0,9.86,7.04,45.07,61.97
0080839U,2021-01-01,REIMS,ARDENNES,VRIGNE AUX BOIS,COLLEGE,PUBLIC,342,1,0,80.1,67,76.0,-1.0,9.7,0.6,87.0,99.0,19.40,17.91,22.39,59.70
0080948M,2021-01-01,REIMS,ARDENNES,GIVET,COLLEGE,PUBLIC,362,0,0,93.3,71,87.0,3.0,10.4,0.3,89.0,95.0,18.31,32.39,35.21,85.92
0080995N,2021-01-01,REIMS,ARDENNES,SEDAN,COLLEGE PRIVE,PRIVE,522,0,0,109.5,121,100.0,4.0,12.6,0.5,93.0,96.0,23.14,35.54,34.71,93.39
0081098A,2021-01-01,REIMS,ARDENNES,ROCROI,COLLEGE,PUBLIC,199,0,0,92.8,43,91.0,5.0,10.0,0.5,86.0,91.0,18.60,30.23,13.95,62.79
0081100C,2021-01-01,REIMS,ARDENNES,ATTIGNY,COLLEGE,PUBLIC,308,0,0,99.6,67,97.0,5.0,11.4,0.8,95.0,99.0,23.88,29.85,31.34,85.07
0100010G,2021-01-01,REIMS,AUBE,ERVY-LE-CHATEL,COLLEGE,PUBLIC,255,0,0,99.4,65,92.0,1.0,11.2,0.3,98.0,100.0,21.54,35.38,30.77,87.69
0100010G,2021-01-01,REIMS,AUBE,ERVY-LE-CHATEL,COLLEGE,PUBLIC,255,0,0,99.4,59,93.0,3.0,10.3,0.3,95.0,98.0,23.73,15.25,37.29,76.27
0100031E,2021-01-01,REIMS,AUBE,TROYES,COLLEGE,PUBLIC,563,0,0,97.4,142,81.0,-5.0,8.6,-1.3,85.0,94.0,11.27,14.79,31.69,57.75
0100031E,2021-01-01,REIMS,AUBE,TROYES,COLLEGE,PUBLIC,563,0,0,97.4,144,76.0,-16.0,10.6,-0.8,84.0,95.0,13.89,17.36,31.25,62.50
0100902B,2021-01-01,REIMS,AUBE,BAR-SUR-AUBE,COLLEGE,PUBLIC,458,0,0,94.5,91,87.0,-4.0,10.8,-0.2,95.0,100.0,17.58,32.97,19.78,70.33
0510011K,2021-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,COLLEGE,PUBLIC,612,0,0,92.8,122,84.0,-6.0,9.6,-1.3,87.0,96.0,20.49,22.13,22.95,65.57
0510016R,2021-01-01,REIMS,MARNE,EPERNAY,COLLEGE,PUBLIC,472,0,0,97.3,100,86.0,-1.0,9.2,-0.9,93.0,95.0,19.00,15.00,38.00,72.00
0510016R,2021-01-01,REIMS,MARNE,EPERNAY,COLLEGE,PUBLIC,472,0,0,97.3,121,93.0,2.0,10.2,-0.7,91.0,100.0,26.45,19.01,28.10,73.55
0511108C,2021-01-01,REIMS,MARNE,REIMS,COLLEGE,PUBLIC,581,0,1,69.8,128,65.0,-13.0,8.3,-0.7,91.0,90.0,24.22,13.28,10.94,48.44
0511180F,2021-01-01,REIMS,MARNE,REIMS,COLLEGE PRIVE,PRIVE,478,0,0,105.8,105,99.0,3.0,12.1,0.3,86.0,98.0,23.81,41.90,25.71,91.43
0511188P,2021-01-01,REIMS,MARNE,FISMES,COLLEGE,PUBLIC,500,0,0,106.6,117,77.0,-15.0,11.1,-0.1,98.0,99.0,17.09,19.66,18.80,55.56
0511711H,2021-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,COLLEGE PRIVE,PRIVE,228,0,0,105.1,54,98.0,6.0,11.1,0.3,85.0,95.0,27.78,33.33,18.52,79.63
0520014H,2021-01-01,REIMS,HAUTE-MARNE,DOULAINCOURT-SAUCOURT,COLLEGE,PUBLIC,241,0,0,91.3,50,84.0,-5.0,10.8,0.2,95.0,96.0,20.00,26.00,16.00,62.00
0540064B,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,THIAUCOURT-REGNIEVILLE,COLLEGE,PUBLIC,244,0,0,95.6,46,85.0,-11.0,11.0,-0.7,100.0,100.0,23.91,32.61,15.22,71.74
0540071J,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VEZELISE,COLLEGE,PUBLIC,402,0,0,115.9,82,99.0,3.0,12.3,0.6,93.0,99.0,23.17,31.71,30.49,85.37
0540115G,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VAL DE BRIEY,COLLEGE,PUBLIC,495,0,0,101.9,100,96.0,2.0,11.7,-0.2,93.0,94.0,22.00,32.00,19.00,73.00
0540115G,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VAL DE BRIEY,COLLEGE,PUBLIC,495,0,0,101.9,109,89.0,2.0,10.9,1.2,91.0,96.0,17.43,28.44,19.27,65.14
0541327Z,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,COLLEGE,PUBLIC,292,0,1,76.3,65,77.0,-2.0,9.5,0.0,71.0,92.0,27.69,13.85,20.00,61.54
0541565H,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE,PUBLIC,631,1,0,93.5,105,84.0,-6.0,11.1,0.1,84.0,97.0,18.10,17.14,25.71,60.95
0541565H,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE,PUBLIC,631,1,0,93.5,130,79.0,-9.0,9.7,-0.3,90.0,96.0,13.85,22.31,23.85,60.00
0541576V,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,BLENOD-LES-PONT-A-MOUSSON,COLLEGE,PUBLIC,661,0,0,93.0,116,91.0,2.0,10.3,-0.6,92.0,94.0,20.69,21.55,27.59,69.83
0541706L,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,DOMMARTEMONT,COLLEGE,PUBLIC,368,0,0,101.5,66,86.0,-6.0,10.4,-0.3,93.0,92.0,15.15,33.33,24.24,72.73
0541706L,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,DOMMARTEMONT,COLLEGE,PUBLIC,368,0,0,101.5,73,88.0,-5.0,11.2,-0.5,89.0,92.0,16.44,19.18,38.36,73.97
0541956H,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,PULNOY,COLLEGE,PUBLIC,527,0,0,115.2,132,95.0,0.0,11.4,0.0,92.0,100.0,12.12,28.79,36.36,77.27
0542468P,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,HEILLECOURT,COLLEGE,PUBLIC,570,0,0,105.1,133,96.0,3.0,11.5,-0.2,90.0,96.0,14.29,25.56,42.86,82.71
0550012P,2021-01-01,NANCY-METZ,MEUSE,FRESNES-EN-WOEVRE,COLLEGE,PUBLIC,270,0,0,100.5,51,94.0,1.0,11.2,-0.7,92.0,94.0,15.69,25.49,23.53,64.71
0550024C,2021-01-01,NANCY-METZ,MEUSE,VERDUN,COLLEGE,PUBLIC,413,0,0,91.0,90,77.0,-10.0,9.7,-0.6,88.0,92.0,17.78,22.22,22.22,62.22
0570091P,2021-01-01,NANCY-METZ,MOSELLE,SAINTE-MARIE-AUX-CHENES,COLLEGE,PUBLIC,572,0,0,105.9,126,98.0,4.0,11.6,-0.4,98.0,97.0,21.43,30.95,31.75,84.13
0570115R,2021-01-01,NANCY-METZ,MOSELLE,YUTZ,COLLEGE,PUBLIC,806,0,0,102.8,208,93.0,4.0,10.7,0.2,92.0,96.0,18.27,28.37,32.21,78.85
0570328X,2021-01-01,NANCY-METZ,MOSELLE,LORQUIN,COLLEGE,PUBLIC,295,0,0,96.4,64,92.0,0.0,11.1,0.6,89.0,91.0,20.31,26.56,28.13,75.00
0572020L,2021-01-01,NANCY-METZ,MOSELLE,LEMBERG,COLLEGE,PUBLIC,282,0,0,96.4,72,85.0,-9.0,11.1,-0.4,99.0,99.0,19.44,23.61,29.17,72.22
0572171A,2021-01-01,NANCY-METZ,MOSELLE,HAYANGE,COLLEGE,PUBLIC,442,0,0,91.9,88,82.0,-9.0,9.9,-0.4,88.0,96.0,21.59,20.45,22.73,64.77
0572491Y,2021-01-01,NANCY-METZ,MOSELLE,HOMBOURG-HAUT,COLLEGE,PUBLIC,237,0,1,75.8,52,85.0,3.0,10.2,1.1,99.0,93.0,17.31,25.00,28.85,71.15
0572811W,2021-01-01,NANCY-METZ,MOSELLE,THIONVILLE,COLLEGE,PUBLIC,533,0,0,91.1,110,91.0,2.0,9.5,-1.3,79.0,99.0,19.09,29.09,20.91,69.09
0572931B,2021-01-01,NANCY-METZ,MOSELLE,THIONVILLE,COLLEGE PRIVE,PRIVE,1323,0,0,134.1,323,100.0,2.0,14.1,0.5,95.0,99.0,7.74,21.98,68.42,98.14
0572931B,2021-01-01,NANCY-METZ,MOSELLE,THIONVILLE,COLLEGE PRIVE,PRIVE,1323,0,0,134.1,328,100.0,1.0,14.5,-0.1,94.0,99.0,3.96,18.90,75.91,98.78
0573244S,2021-01-01,NANCY-METZ,MOSELLE,GUENANGE,COLLEGE,PUBLIC,683,0,0,99.7,161,91.0,-1.0,11.3,0.7,91.0,98.0,21.12,19.25,34.78,75.16
0670056X,2021-01-01,STRASBOURG,BAS-RHIN,SARRE-UNION,COLLEGE,PUBLIC,512,0,0,96.6,124,96.0,6.0,11.6,0.9,96.0,98.0,21.77,28.23,33.06,83.06
0671594U,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,COLLEGE,PUBLIC,560,0,0,99.1,126,81.0,-9.0,10.5,-0.6,79.0,89.0,17.46,20.63,19.05,57.14
