uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,rep_plus,ips,nb_candidats_g,taux_de_reussite_g,va_du_taux_de_reussite_g,note_a_lecrit_g,va_de_la_note_g,taux_dacces_6eme_3eme,part_presents_3eme_ordinaire_total,part_mention_ab_g,part_mention_b_g,part_mention_tb_g,part_mention_global_g
0081102E,2021-01-01,REIMS,ARDENNES,ASFELD,COLLEGE,PUBLIC,477,0,0,100.4,112,74.0,-16.0,10.5,-0.3,94.0,100.0,19.64,23.21,17.86,60.71
0100033G,2021-01-01,REIMS,AUBE,LUSIGNY-SUR-BARSE,COLLEGE,PUBLIC,513,0,0,112.2,105,88.0,-6.0,9.7,-1.4,94.0,98.0,11.43,22.86,25.71,60.00
0100905E,2021-01-01,REIMS,AUBE,ROMILLY-SUR-SEINE,COLLEGE,PUBLIC,567,1,0,82.1,119,63.0,-24.0,8.4,-1.8,93.0,98.0,17.65,12.61,21.01,51.26
0100905E,2021-01-01,REIMS,AUBE,ROMILLY-SUR-SEINE,COLLEGE,PUBLIC,567,1,0,82.1,110,85.0,5.0,7.9,-0.7,94.0,95.0,28.18,16.36,19.09,63.64
0101031S,2021-01-01,REIMS,AUBE,PONT-SAINTE-MARIE,COLLEGE,PUBLIC,602,0,0,97.1,159,77.0,-15.0,10.4,-1.5,94.0,99.0,17.61,20.13,28.30,66.04
0101031S,2021-01-01,REIMS,AUBE,PONT-SAINTE-MARIE,COLLEGE,PUBLIC,602,0,0,97.1,129,81.0,-5.0,9.8,-0.1,90.0,95.0,10.08,17.05,20.93,48.06
0510010J,2021-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,COLLEGE,PUBLIC,693,0,0,103.4,161,89.0,-2.0,10.2,-0.9,90.0,93.0,13.66,21.12,42.24,77.02
0510048A,2021-01-01,REIMS,MARNE,RILLY-LA-MONTAGNE,COLLEGE,PUBLIC,299,0,0,121.8,77,96.0,1.0,11.7,-0.3,96.0,100.0,16.88,32.47,38.96,88.31
0510048A,2021-01-01,REIMS,MARNE,RILLY-LA-MONTAGNE,COLLEGE,PUBLIC,299,0,0,121.8,76,95.0,-2.0,12.4,-0.7,94.0,100.0,10.53,40.79,38.16,89.47
0510060N,2021-01-01,REIMS,MARNE,VERZY,COLLEGE,PUBLIC,419,0,0,117.9,106,95.0,-1.0,11.4,-0.6,95.0,100.0,23.58,29.25,31.13,83.96
0511129A,2021-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,COLLEGE PRIVE,PRIVE,782,0,0,118.8,186,99.0,3.0,12.9,0.9,94.0,98.0,16.13,28.49,42.47,87.10
0511251H,2021-01-01,REIMS,MARNE,REIMS,COLLEGE,PUBLIC,455,0,1,60.4,84,95.0,24.0,6.1,-1.3,81.0,99.0,39.29,17.86,9.52,66.67
0511326P,2021-01-01,REIMS,MARNE,BAZANCOURT,COLLEGE,PUBLIC,556,0,0,112.9,118,100.0,7.0,11.1,0.2,96.0,99.0,24.58,20.34,41.53,86.44
0511326P,2021-01-01,REIMS,MARNE,BAZANCOURT,COLLEGE,PUBLIC,556,0,0,112.9,123,86.0,-8.0,11.7,0.0,91.0,98.0,27.64,24.39,15.45,67.48
0511564Y,2021-01-01,REIMS,MARNE,GUEUX,COLLEGE,PUBLIC,587,0,0,125.8,131,98.0,2.0,12.8,0.5,98.0,98.0,14.50,25.95,55.73,96.18
0511567B,2021-01-01,REIMS,MARNE,ESTERNAY,COLLEGE,PUBLIC,220,0,0,98.2,47,87.0,-5.0,10.1,-1.4,99.0,100.0,29.79,25.53,23.40,78.72
0511799D,2021-01-01,REIMS,MARNE,REIMS,COLLEGE PRIVE,PRIVE,456,0,0,128.9,105,99.0,2.0,11.9,-0.1,82.0,98.0,22.86,26.67,39.05,88.57
0520025V,2021-01-01,REIMS,HAUTE-MARNE,NOGENT,COLLEGE,PUBLIC,323,0,0,92.8,73,86.0,-6.0,11.2,0.2,92.0,96.0,19.18,27.40,28.77,75.34
0520039K,2021-01-01,REIMS,HAUTE-MARNE,CHAUMONT,COLLEGE,PUBLIC,416,0,0,97.5,84,82.0,-10.0,10.2,-1.0,92.0,97.0,23.81,26.19,19.05,69.05
0520733P,2021-01-01,REIMS,HAUTE-MARNE,CHAUMONT,COLLEGE,PUBLIC,400,0,0,112.6,72,75.0,-19.0,10.9,-1.1,89.0,99.0,12.50,19.44,27.78,59.72
0520967U,2021-01-01,REIMS,HAUTE-MARNE,LANGRES,COLLEGE PRIVE,PRIVE,162,0,0,95.4,36,86.0,-7.0,10.7,-0.5,89.0,97.0,25.00,33.33,13.89,72.22
0540014X,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,DOMBASLE-SUR-MEURTHE,COLLEGE,PUBLIC,360,0,0,104.7,97,99.0,4.0,12.3,0.0,90.0,95.0,27.84,17.53,40.21,85.57
0540047H,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LAXOU,COLLEGE,PUBLIC,271,0,0,103.8,60,95.0,-1.0,12.4,-0.3,86.0,89.0,23.33,16.67,45.00,85.00
0541330C,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE,PUBLIC,448,0,0,110.6,104,95.0,0.0,11.3,-0.1,90.0,95.0,21.15,23.08,30.77,75.00
0541334G,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LONGWY,COLLEGE,PUBLIC,348,0,0,84.1,72,81.0,5.0,9.0,1.2,89.0,97.0,20.83,20.83,26.39,68.06
0541573S,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NEUVES-MAISONS,COLLEGE,PUBLIC,590,0,0,112.8,114,92.0,-1.0,12.0,1.0,97.0,98.0,22.81,21.05,32.46,76.32
0550007J,2021-01-01,NANCY-METZ,MEUSE,CLERMONT-EN-ARGONNE,COLLEGE,PUBLIC,234,0,0,101.2,66,86.0,-4.0,9.7,-0.3,92.0,96.0,10.61,31.82,18.18,60.61
0550016U,2021-01-01,NANCY-METZ,MEUSE,MONTMEDY,COLLEGE,PUBLIC,251,0,0,90.8,49,90.0,7.0,9.0,-0.1,85.0,92.0,28.57,16.33,22.45,67.35
0550046B,2021-01-01,NANCY-METZ,MEUSE,BAR-LE-DUC,COLLEGE PRIVE,PRIVE,334,0,0,117.4,80,100.0,3.0,12.3,-0.3,95.0,96.0,18.75,35.00,42.50,96.25
0550848Y,2021-01-01,NANCY-METZ,MEUSE,ANCERVILLE,COLLEGE,PUBLIC,321,0,0,101.2,72,96.0,3.0,11.6,0.6,93.0,99.0,26.39,20.83,31.94,79.17
0570010B,2021-01-01,NANCY-METZ,MOSELLE,BOULAY-MOSELLE,COLLEGE,PUBLIC,702,0,0,106.4,143,88.0,-2.0,10.0,-0.1,94.0,99.0,12.59,25.17,32.17,69.93
0570012D,2021-01-01,NANCY-METZ,MOSELLE,BOUZONVILLE,COLLEGE,PUBLIC,540,0,0,93.0,145,86.0,-3.0,9.0,-0.8,94.0,94.0,17.24,19.31,21.38,57.93
0570012D,2021-01-01,NANCY-METZ,MOSELLE,BOUZONVILLE,COLLEGE,PUBLIC,540,0,0,93.0,135,93.0,3.0,10.3,-0.6,93.0,98.0,16.30,25.19,26.67,68.15
0570143W,2021-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,COLLEGE,PUBLIC,381,0,0,100.8,85,96.0,3.0,12.1,0.9,93.0,89.0,12.94,30.59,41.18,84.71
0570317K,2021-01-01,NANCY-METZ,MOSELLE,FLORANGE,COLLEGE,PUBLIC,555,0,0,84.0,98,92.0,4.0,11.0,0.6,92.0,99.0,24.49,19.39,30.61,74.49
0570318L,2021-01-01,NANCY-METZ,MOSELLE,UCKANGE,COLLEGE,PUBLIC,418,1,0,78.5,99,76.0,-11.0,9.1,-0.8,93.0,95.0,18.18,19.19,17.17,54.55
0572015F,2021-01-01,NANCY-METZ,MOSELLE,ARS-SUR-MOSELLE,COLLEGE,PUBLIC,482,0,0,109.8,103,92.0,-3.0,11.2,-0.9,97.0,95.0,15.53,25.24,32.04,72.82
0572015F,2021-01-01,NANCY-METZ,MOSELLE,ARS-SUR-MOSELLE,COLLEGE,PUBLIC,482,0,0,109.8,135,90.0,-3.0,9.8,-1.3,97.0,99.0,17.78,22.96,31.11,71.85
0572025S,2021-01-01,NANCY-METZ,MOSELLE,HETTANGE-GRANDE,COLLEGE,PUBLIC,622,0,0,116.4,137,93.0,-2.0,11.4,-0.9,92.0,96.0,19.71,22.63,30.66,72.99
0572168X,2021-01-01,NANCY-METZ,MOSELLE,METZ,COLLEGE,PUBLIC,392,1,0,79.3,95,87.0,0.0,10.3,-0.1,83.0,100.0,20.00,23.16,23.16,66.32
0572176F,2021-01-01,NANCY-METZ,MOSELLE,FAULQUEMONT,COLLEGE,PUBLIC,369,0,0,103.5,61,93.0,-2.0,11.7,0.1,93.0,97.0,19.67,19.67,39.34,78.69
0572186S,2021-01-01,NANCY-METZ,MOSELLE,MOULINS-LES-METZ,COLLEGE,PUBLIC,314,0,0,120.9,73,96.0,-2.0,13.8,0.7,92.0,97.0,12.33,30.14,46.58,89.04
0572493A,2021-01-01,NANCY-METZ,MOSELLE,PETITE-ROSSELLE,COLLEGE,PUBLIC,242,1,0,71.9,43,81.0,3.0,9.7,0.2,93.0,90.0,16.28,23.26,25.58,65.12
0572493A,2021-01-01,NANCY-METZ,MOSELLE,PETITE-ROSSELLE,COLLEGE,PUBLIC,242,1,0,71.9,44,95.0,7.0,9.5,-0.4,93.0,80.0,27.27,31.82,22.73,81.82
0572579U,2021-01-01,NANCY-METZ,MOSELLE,WOIPPY,COLLEGE,PUBLIC,405,0,1,66.3,88,89.0,16.0,8.4,-0.1,85.0,100.0,19.32,15.91,23.86,59.09
0572812X,2021-01-01,NANCY-METZ,MOSELLE,THIONVILLE,COLLEGE,PUBLIC,419,0,0,96.1,108,100.0,6.0,11.6,-0.1,83.0,95.0,20.37,23.15,29.63,73.15
0572813Y,2021-01-01,NANCY-METZ,MOSELLE,FORBACH,COLLEGE,PUBLIC,466,0,0,82.9,95,75.0,-9.0,8.5,-1.1,79.0,90.0,16.84,11.58,22.11,50.53
0572814Z,2021-01-01,NANCY-METZ,MOSELLE,DIEUZE,COLLEGE,PUBLIC,379,0,0,103.6,78,88.0,-4.0,10.3,-0.5,90.0,99.0,26.92,17.95,29.49,74.36
0573361U,2021-01-01,NANCY-METZ,MOSELLE,BITCHE,COLLEGE,PUBLIC,538,0,0,95.8,113,92.0,2.0,10.5,-0.2,95.0,99.0,20.35,30.97,26.55,77.88
0670016D,2021-01-01,STRASBOURG,BAS-RHIN,ECKBOLSHEIM,COLLEGE,PUBLIC,435,0,0,111.2,96,90.0,-1.0,10.4,0.1,93.0,94.0,19.79,32.29,22.92,75.00
0670066H,2021-01-01,STRASBOURG,BAS-RHIN,SCHILTIGHEIM,COLLEGE,PUBLIC,790,1,0,84.0,173,90.0,6.0,10.3,0.3,92.0,94.0,28.90,24.86,24.28,78.03
0670066H,2021-01-01,STRASBOURG,BAS-RHIN,SCHILTIGHEIM,COLLEGE,PUBLIC,790,1,0,84.0,175,77.0,1.0,8.3,0.0,92.0,97.0,18.86,17.71,17.14,53.71
0670107C,2021-01-01,STRASBOURG,BAS-RHIN,TRUCHTERSHEIM,COLLEGE,PUBLIC,630,0,0,122.9,132,96.0,-1.0,12.4,-0.3,97.0,99.0,20.45,19.70,47.73,87.88
0671686U,2021-01-01,STRASBOURG,BAS-RHIN,ACHENHEIM,COLLEGE,PUBLIC,532,0,0,121.9,131,98.0,2.0,12.3,0.1,92.0,98.0,18.32,25.19,42.75,86.26
0671687V,2021-01-01,STRASBOURG,BAS-RHIN,ESCHAU,COLLEGE,PUBLIC,698,0,0,116.4,162,94.0,1.0,11.9,0.2,93.0,93.0,19.75,20.99,45.06,85.80
0671688W,2021-01-01,STRASBOURG,BAS-RHIN,LAUTERBOURG,COLLEGE,PUBLIC,314,0,0,110.4,64,97.0,1.0,13.4,1.0,96.0,100.0,14.06,28.13,51.56,93.75
0671830A,2021-01-01,STRASBOURG,BAS-RHIN,SELESTAT,COLLEGE,PUBLIC,689,0,0,106.6,151,92.0,-1.0,12.1,0.5,90.0,96.0,14.57,27.15,39.07,80.79
0672131C,2021-01-01,STRASBOURG,BAS-RHIN,MOLSHEIM,COLLEGE,PUBLIC,337,0,0,115.7,75,95.0,5.0,12.1,0.8,99.0,100.0,22.67,18.67,41.33,82.67
0672193V,2021-01-01,STRASBOURG,BAS-RHIN,PFULGRIESHEIM,COLLEGE,PUBLIC,535,0,0,129.5,121,98.0,1.0,12.4,0.2,96.0,99.0,17.36,33.88,39.67,90.91
0672193V,2021-01-01,STRASBOURG,BAS-RHIN,PFULGRIESHEIM,COLLEGE,PUBLIC,535,0,0,129.5,131,96.0,-1.0,12.9,-0.1,97.0,98.0,14.50,27.48,47.33,89.31
0672301M,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,COLLEGE PRIVE,PRIVE,769,0,0,135.6,187,100.0,4.0,13.7,1.6,93.0,100.0,17.11,22.99,59.36,99.47
0672302N,2021-01-01,STRASBOURG,BAS-RHIN,WALBOURG,COLLEGE PRIVE,PRIVE,449,0,0,115.7,118,100.0,5.0,12.2,0.5,78.0,94.0,23.73,35.59,31.36,90.68
0672459J,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,COLLEGE,PUBLIC,426,0,1,72.6,87,84.0,8.0,8.2,0.3,90.0,95.0,27.59,10.34,20.69,58.62
0672606U,2021-01-01,STRASBOURG,BAS-RHIN,MOLSHEIM,COLLEGE,PUBLIC,645,0,0,107.3,131,98.0,3.0,12.2,0.1,93.0,97.0,18.32,33.59,38.93,90.84
