uai,rentree_scolaire,region_academique,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,ips
0941018W,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CRETEIL,LYCEE POLYVALENT,PUBLIC,287,,91.1
0941413A,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CRETEIL,LYCEE POLYVALENT,PUBLIC,844,,92.5
0941711Z,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CRETEIL,LYCEE GENERAL PRIVE,PRIVE,112,,129.4
0941930M,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CRETEIL,LYCEE POLYVALENT,PUBLIC,871,,86.5
0942354Y,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CRETEIL,LYCEE GENERAL ET TECHNOLOGIQUE,PRIVE,433,,121.5
0940120V,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,SAINT-MAUR-DES-FOSSES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1111,,141.8
0940585A,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,SAINT-MAUR-DES-FOSSES,LPO LYCEE DES METIERS,PUBLIC,471,,114.5
0940878U,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,SAINT-MAUR-DES-FOSSES,LYCEE GENERAL ET TECHNOLOGIQUE,PRIVE,988,,132.1
0940121W,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,SAINT-MAUR-DES-FOSSES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,981,,134.9
0941347D,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,FONTENAY-SOUS-BOIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,762,,109.7
0940117S,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,NOGENT-SUR-MARNE,LYCEE POLYVALENT,PUBLIC,881,,136.6
0940118T,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,NOGENT-SUR-MARNE,LPO LYCEE DES METIERS,PUBLIC,334,,109.5
0940137N,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,NOGENT-SUR-MARNE,LP LYCEE DES METIERS,PUBLIC,27,,94.8
0940126B,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,ALFORTVILLE,LPO LYCEE DES METIERS,PUBLIC,577,,91.3
0940882Y,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,SAINT-MANDE,LYCEE GENERAL ET TECHNOLOGIQUE,PRIVE,423,,135.2
0940119U,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,LE PERREUX-SUR-MARNE,LYCEE POLYVALENT,PUBLIC,871,,127.7
0941952L,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VILLENEUVE-SAINT-GEORGES,LYCEE POLYVALENT,PUBLIC,659,,84.2
0940115P,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,IVRY-SUR-SEINE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1107,,96.9
0941972H,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,IVRY-SUR-SEINE,LPO LYCEE DES METIERS,PUBLIC,247,,82.9
0940122X,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,SAINT-MAUR-DES-FOSSES,LYCEE POLYVALENT,PUBLIC,736,,128.6
0941877E,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHARENTON-LE-PONT,LYCEE GENERAL PRIVE,PRIVE,446,,139.7
0941974K,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHARENTON-LE-PONT,LYCEE POLYVALENT,PUBLIC,581,,113.2
0940580V,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CACHAN,LYCEE POLYVALENT,PUBLIC,1360,,105.7
0941301D,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,FRESNES,LYCEE POLYVALENT,PUBLIC,1167,,108.9
0941474S,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,LE KREMLIN-BICETRE,LYCEE POLYVALENT,PUBLIC,1101,,92.8
0940743X,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VILLENEUVE-LE-ROI,LYCEE POLYVALENT,PUBLIC,918,,95.1
0940821G,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VINCENNES,LYCEE GENERAL ET TECHNOLOGIQUE,PRIVE,327,,123.0
0750669V,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,778,,126.1
0940124Z,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VINCENNES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1171,,138.8
0940822H,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VINCENNES,LYCEE GENERAL ET TECHNOLOGIQUE,PRIVE,547,,125.8
0940877T,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VINCENNES,LYCEE GENERAL PRIVE,PRIVE,413,,148.2
0940138P,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,ORLY,LP LYCEE DES METIERS,PUBLIC,2,,80.8
0940123Y,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,THIAIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1363,,100.2
0942376X,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,THIAIS,LYCEE GENERAL PRIVE,PRIVE,43,,97.7
0940891H,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,SUCY-EN-BRIE,LYCEE GENERAL PRIVE,PRIVE,418,,132.7
0941918Z,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,SUCY-EN-BRIE,LYCEE POLYVALENT,PUBLIC,956,,121.1
0942130E,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,SUCY-EN-BRIE,LYCEE POLYVALENT,PUBLIC,63,,91.3
0941719H,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VITRY-SUR-SEINE,LYCEE GENERAL ET TECHNOLOGIQUE,PRIVE,298,,127.6
0941294W,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VITRY-SUR-SEINE,LYCEE POLYVALENT,PUBLIC,752,,92.5
0940129E,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VITRY-SUR-SEINE,LPO LYCEE DES METIERS,PUBLIC,1062,,85.3
0941470M,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHENNEVIERES-SUR-MARNE,LYCEE POLYVALENT,PUBLIC,1282,,104.1
0940742W,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,LIMEIL-BREVANNES,LYCEE POLYVALENT,PUBLIC,1375,,104.7
0941909P,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,BOISSY-SAINT-LEGER,LYCEE GENERAL PRIVE,PRIVE,31,,103.5
0940132H,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHAMPIGNY-SUR-MARNE,LYCEE PROFESSIONNEL,PUBLIC,4,,74.5
0940112L,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHAMPIGNY-SUR-MARNE,LPO LYCEE DES METIERS,PUBLIC,693,,97.5
0940113M,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHAMPIGNY-SUR-MARNE,LYCEE POLYVALENT,PUBLIC,540,,87.7
0941951K,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHAMPIGNY-SUR-MARNE,LYCEE POLYVALENT,PUBLIC,664,,92.3
0942269F,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHEVILLY-LARUE,LYCEE POLYVALENT,PUBLIC,392,,94.8
0940141T,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHOISY-LE-ROI,LYCEE POLYVALENT,PUBLIC,59,,83.6
0940885B,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,CHOISY-LE-ROI,LYCEE GENERAL PRIVE,PRIVE,410,,108.8
0940116R,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,MAISONS-ALFORT,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1184,,120.6
0940880W,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,NOGENT-SUR-MARNE,LYCEE GENERAL PRIVE,PRIVE,589,,149.2
0940881X,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,NOGENT-SUR-MARNE,LYCEE GENERAL PRIVE,PRIVE,368,,143.5
0942443V,2021-01-01,ILE-DE-FRANCE,CRETEIL,VAL-DE-MARNE,VILLEJUIF,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,190,,123.6
0750647W,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,708,,125.6
0750648X,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,464,,138.3
0750651A,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT,PUBLIC,318,,103.0
0750652B,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,755,,134.4
0750653C,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,832,,132.7
0753820V,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,821,,140.4
0753824Z,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,460,,145.8
