uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,ips_voie_gt,ips_voie_pro,ips_ensemble_gt_pro,taux_de_reussite,va_taux_de_reussite,taux_de_mentions,va_du_taux_de_mentions,effectif_de_2de,effectif_de_1re,effectif_de_ter,taux_dacces_2nde_bac,va_taux_dacces_2nde_bac,taux_dacces_1re_bac,va_du_taux_dacces_1re_bac,taux_dacces_term_bac,va_du_taux_dacces_term_bac,part_mention_ab,part_mention_b,part_mention_tb_sf,part_mention_tb_af
0080040A,2021-01-01,REIMS,ARDENNES,REVIN,LYCEE POLYVALENT,PUBLIC,251,90.5,72.1,82.3,87.0,-6.0,46.0,-1.0,95.0,71.0,83.0,77.0,-8.0,86.0,-7.0,94.0,-1.0,27.71,8.43,,
0080045F,2021-01-01,REIMS,ARDENNES,SEDAN,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,850,96.5,,96.5,84.0,-8.0,45.0,-6.0,294.0,268.0,276.0,80.0,-5.0,89.0,-4.0,92.0,-3.0,26.81,14.49,,
0080081V,2021-01-01,REIMS,ARDENNES,SEDAN,LYCEE GENERAL PRIVE,PRIVE,268,113.7,,113.7,97.0,0.0,67.0,-3.0,88.0,65.0,98.0,84.0,-6.0,96.0,0.0,100.0,2.0,,,,
0081047V,2021-01-01,REIMS,ARDENNES,BAZEILLES,LPO LYCEE DES METIERS,PUBLIC,81,114.2,87.0,95.3,94.0,-4.0,58.0,-6.0,30.0,19.0,29.0,80.0,-4.0,91.0,-2.0,91.0,-5.0,,,,
0080007P,2021-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,796,102.3,,102.3,90.0,-4.0,52.0,-2.0,244.0,289.0,280.0,82.0,-4.0,89.0,-4.0,94.0,-2.0,30.36,15.36,4.64,4.64
0080008R,2021-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LPO LYCEE DES METIERS,PUBLIC,413,108.4,85.2,106.1,89.0,-5.0,50.0,-2.0,140.0,131.0,146.0,77.0,-9.0,90.0,-4.0,93.0,-4.0,24.66,15.07,6.85,6.85
0080053P,2021-01-01,REIMS,ARDENNES,VOUZIERS,LYCEE GENERAL,PUBLIC,249,108.9,,108.9,94.0,-2.0,59.0,-2.0,117.0,82.0,75.0,77.0,-12.0,92.0,-3.0,93.0,-4.0,,,,
0510068X,2021-01-01,REIMS,MARNE,EPERNAY,LPO LYCEE DES METIERS,PUBLIC,1429,110.4,81.1,104.1,94.0,-1.0,54.0,-4.0,474.0,457.0,471.0,89.0,2.0,95.0,1.0,98.0,1.0,28.03,16.35,8.70,8.70
0511135G,2021-01-01,REIMS,MARNE,EPERNAY,LYCEE GENERAL PRIVE,PRIVE,275,115.3,,115.3,100.0,2.0,72.0,-2.0,105.0,85.0,92.0,76.0,-14.0,97.0,1.0,100.0,2.0,,,,
0540039Z,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1015,122.8,,122.8,96.0,0.0,64.0,1.0,332.0,340.0,336.0,91.0,4.0,96.0,2.0,98.0,1.0,30.65,18.45,,
0080006N,2021-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LYCEE GENERAL,PUBLIC,625,116.5,,116.5,94.0,-4.0,66.0,-6.0,212.0,206.0,204.0,91.0,1.0,97.0,1.0,98.0,-1.0,,,,
0080027L,2021-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,431,86.3,,86.3,77.0,-11.0,40.0,-2.0,140.0,111.0,141.0,68.0,-14.0,80.0,-10.0,85.0,-7.0,20.57,14.89,,
0100003Z,2021-01-01,REIMS,AUBE,BAR-SUR-AUBE,LYCEE POLYVALENT,PUBLIC,378,104.3,78.6,97.4,92.0,-3.0,53.0,0.0,134.0,124.0,119.0,89.0,2.0,91.0,-3.0,96.0,0.0,27.73,14.29,7.56,7.56
0100046W,2021-01-01,REIMS,AUBE,TROYES,LYCEE GENERAL PRIVE,PRIVE,377,125.6,,125.6,100.0,2.0,82.0,5.0,127.0,127.0,114.0,94.0,4.0,97.0,1.0,100.0,1.0,,,,
